"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N"
"1500000US261635005001","Block Group 1, Census Tract 5005, Wayne County, Michigan","718","697","11","681","2","0","0","3","21","21","9","0","0","0","0","10","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635005002","Block Group 2, Census Tract 5005, Wayne County, Michigan","789","779","21","744","4","1","0","9","10","7","3","0","1","0","0","1","0","0","1","0","0","1","0","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635006001","Block Group 1, Census Tract 5006, Wayne County, Michigan","1195","1167","28","1123","0","7","2","7","28","23","9","5","0","0","0","5","0","0","4","0","0","0","0","0","0","5","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635006002","Block Group 2, Census Tract 5006, Wayne County, Michigan","465","453","5","445","0","2","0","1","12","10","6","0","0","0","1","2","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635006003","Block Group 3, Census Tract 5006, Wayne County, Michigan","620","595","19","559","3","9","0","5","25","19","9","2","1","0","1","1","0","0","4","1","0","0","0","0","0","6","2","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635006004","Block Group 4, Census Tract 5006, Wayne County, Michigan","412","402","12","389","0","0","0","1","10","7","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635007001","Block Group 1, Census Tract 5007, Wayne County, Michigan","898","872","41","819","3","1","0","8","26","18","11","0","0","0","0","6","0","0","1","0","0","0","0","0","0","8","7","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635007002","Block Group 2, Census Tract 5007, Wayne County, Michigan","808","770","38","723","2","0","0","7","38","35","28","2","0","0","1","3","0","0","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635007003","Block Group 3, Census Tract 5007, Wayne County, Michigan","1203","1170","26","1133","0","0","0","11","33","32","23","0","0","0","0","6","0","0","3","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635007004","Block Group 4, Census Tract 5007, Wayne County, Michigan","1200","1172","29","1136","2","1","0","4","28","23","18","0","0","0","0","4","0","0","1","0","0","0","0","0","0","5","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635008001","Block Group 1, Census Tract 5008, Wayne County, Michigan","1380","1331","57","1268","0","0","1","5","49","41","19","0","1","0","5","4","0","0","10","0","0","2","0","0","0","7","4","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635008002","Block Group 2, Census Tract 5008, Wayne County, Michigan","1189","1137","54","1071","0","8","0","4","52","48","31","2","1","0","1","4","0","0","6","0","0","1","2","0","0","4","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635009001","Block Group 1, Census Tract 5009, Wayne County, Michigan","1657","1631","26","1595","0","0","0","10","26","25","12","1","0","0","3","1","1","1","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635009002","Block Group 2, Census Tract 5009, Wayne County, Michigan","2049","1975","55","1904","6","6","0","4","74","64","26","4","0","0","2","20","3","0","7","0","0","1","0","1","0","9","7","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635010001","Block Group 1, Census Tract 5010, Wayne County, Michigan","1233","1190","36","1149","1","3","0","1","43","43","24","0","1","0","0","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635010002","Block Group 2, Census Tract 5010, Wayne County, Michigan","1712","1658","34","1610","1","7","0","6","54","47","32","0","0","0","1","9","3","0","1","0","0","0","0","0","1","7","2","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635011001","Block Group 1, Census Tract 5011, Wayne County, Michigan","1084","1057","18","1025","1","2","0","11","27","26","21","0","0","0","0","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635011002","Block Group 2, Census Tract 5011, Wayne County, Michigan","554","537","12","519","2","0","0","4","17","17","11","0","0","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635011003","Block Group 3, Census Tract 5011, Wayne County, Michigan","665","653","25","624","1","0","0","3","12","12","7","0","0","1","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635011004","Block Group 4, Census Tract 5011, Wayne County, Michigan","1025","999","15","971","5","0","1","7","26","26","14","0","0","2","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635012001","Block Group 1, Census Tract 5012, Wayne County, Michigan","1609","1565","50","1503","7","0","0","5","44","40","28","2","3","1","1","3","0","0","2","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635013001","Block Group 1, Census Tract 5013, Wayne County, Michigan","1161","1142","17","1120","1","0","0","4","19","16","11","0","0","0","0","0","0","0","3","2","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635013002","Block Group 2, Census Tract 5013, Wayne County, Michigan","876","842","37","798","2","0","0","5","34","32","18","1","1","1","3","3","3","0","2","0","0","0","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635013003","Block Group 3, Census Tract 5013, Wayne County, Michigan","1041","994","35","952","1","1","0","5","47","43","14","1","1","0","17","5","1","0","4","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635014001","Block Group 1, Census Tract 5014, Wayne County, Michigan","1691","1653","108","1533","1","3","0","8","38","32","14","6","1","0","6","2","1","0","2","0","0","0","0","0","0","6","1","2","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635014002","Block Group 2, Census Tract 5014, Wayne County, Michigan","990","950","51","888","4","3","0","4","40","32","18","1","0","0","5","6","2","0","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635014003","Block Group 3, Census Tract 5014, Wayne County, Michigan","943","907","135","761","2","2","0","7","36","32","7","2","1","0","1","17","0","0","4","0","0","0","0","0","0","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635015001","Block Group 1, Census Tract 5015, Wayne County, Michigan","1529","1488","94","1383","3","4","0","4","41","37","19","5","2","0","1","4","1","0","5","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635015002","Block Group 2, Census Tract 5015, Wayne County, Michigan","893","876","66","799","1","5","0","5","17","17","11","0","0","0","0","2","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635015003","Block Group 3, Census Tract 5015, Wayne County, Michigan","1634","1580","152","1403","7","10","0","8","54","48","21","3","2","0","6","11","3","0","2","0","0","0","0","0","0","6","3","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635016001","Block Group 1, Census Tract 5016, Wayne County, Michigan","862","834","180","640","0","9","0","5","28","25","6","1","2","0","6","6","1","0","3","0","0","0","0","0","0","3","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635016002","Block Group 2, Census Tract 5016, Wayne County, Michigan","1093","1058","89","956","0","1","3","9","35","32","24","1","0","0","1","2","3","0","1","0","0","0","0","0","0","3","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635017001","Block Group 1, Census Tract 5017, Wayne County, Michigan","1243","1185","260","911","5","3","0","6","58","49","22","8","0","0","7","9","0","1","2","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635017002","Block Group 2, Census Tract 5017, Wayne County, Michigan","975","933","178","741","2","4","0","8","42","39","17","4","0","0","5","9","0","0","4","0","0","0","0","0","0","3","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635018001","Block Group 1, Census Tract 5018, Wayne County, Michigan","2223","2111","404","1665","6","14","2","20","112","96","31","10","6","0","24","10","5","0","8","0","0","0","2","0","0","16","8","0","0","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635018002","Block Group 2, Census Tract 5018, Wayne County, Michigan","1894","1824","270","1523","4","6","0","21","70","62","26","3","8","0","4","10","3","0","8","0","0","0","0","0","0","8","4","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635019001","Block Group 1, Census Tract 5019, Wayne County, Michigan","1130","1087","34","1029","0","3","1","20","43","40","22","0","0","0","2","10","1","0","4","0","0","1","0","0","0","3","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635019002","Block Group 2, Census Tract 5019, Wayne County, Michigan","1360","1313","67","1231","4","2","2","7","47","38","10","11","0","0","3","7","5","0","1","0","0","0","0","1","0","8","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635020001","Block Group 1, Census Tract 5020, Wayne County, Michigan","1858","1810","69","1728","0","4","0","9","48","39","22","0","2","0","10","5","0","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635026001","Block Group 1, Census Tract 5026, Wayne County, Michigan","518","506","11","490","2","0","0","3","12","12","0","0","1","0","6","1","1","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635026002","Block Group 2, Census Tract 5026, Wayne County, Michigan","922","891","19","863","5","3","0","1","31","22","6","0","0","0","1","11","2","0","2","0","0","0","0","0","0","9","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635026003","Block Group 3, Census Tract 5026, Wayne County, Michigan","421","405","15","380","1","1","0","8","16","11","4","0","1","0","1","4","0","0","1","0","0","0","0","0","0","4","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635026004","Block Group 4, Census Tract 5026, Wayne County, Michigan","840","812","24","767","3","6","0","12","28","20","8","0","0","0","0","1","6","0","5","0","0","0","0","0","0","8","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1500000US261635026005","Block Group 5, Census Tract 5026, Wayne County, Michigan","620","596","4","591","0","0","0","1","24","22","20","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
